fish,stage,day,plotday,trial,EST,distance,yds,circular_mean_degrees
fish21,Baseline,11,11,6,3,3.683432412,-1.318349846,10.09874319
fish21,Baseline,12,12,6,3,4.105352542,-8.624439488,-8.23922687
fish21,Baseline,13,13,6,4,3.721838075,-3.302906344,-4.039751992
fish21,Baseline,14,14,6,2,4.555916302,-6.367201724,-21.94168581
fish21,Baseline,15,15,6,1,4.874806152,3.369163916,-0.269900663
fish21,Baseline,16,16,6,4,2.512250908,-5.144970297,-4.631862109
fish21,Baseline,17,17,6,2,7.042226745,-6.359160763,-11.78294252
fish21,Baseline,18,18,6,3,4.366135141,-3.981182543,-3.366005621
fish21,Baseline,19,19,6,3,5.244868861,-6.084196375,-13.32620499
fish21,Baseline,20,20,6,4,3.878669196,-5.632326294,-5.363366916
fish21,Baseline,21,21,6,0,5.579013633,-13.25806893,-21.45910442
fish21,Baseline,22,22,6,5,4.445444099,-3.711015044,-5.139399613
fish21,Baseline,23,23,6,3,4.614439781,-7.761974878,-12.38430599
fish21,Baseline,24,24,6,2,3.204350359,-11.07983047,-18.8357577
fish21,Baseline,25,25,6,3,3.040591877,-8.501005567,-8.794094517
fish21,Baseline,26,26,6,2,4.61774555,-13.25526679,-13.06102246
fish21,Baseline,27,27,6,3,3.183712691,-4.893479783,-8.310532058
fish21,Baseline,28,28,6,4,4.341361652,-7.095322837,-7.54834793
fish21,Rotation,1,29,6,1,5.819667694,11.50525801,12.94965552
fish21,Rotation,2,30,6,3,5.034028156,7.963892373,9.197863593
fish21,Rotation,3,31,6,4,2.845797297,3.527638062,0.920150141
fish21,Rotation,4,32,6,5,2.69739164,0.719153932,3.437324105
fish21,Rotation,5,33,6,4,3.212910803,-3.642605907,-9.828613818
fish21,Rotation,6,34,6,5,2.669831522,-1.61451647,-2.516153271
fish21,Rotation,7,35,6,4,2.79048457,-3.772057796,-4.069185514
fish21,Rotation,8,36,6,4,2.622186079,-2.295590581,-5.277504311
fish21,Rotation,9,37,6,3,5.07496501,-3.389289214,-6.136853723
fish21,Rotation,10,38,6,4,3.33956939,-2.574512983,-2.107073585
fish21,Rotation,11,39,6,5,3.058909397,-3.987840239,-5.361955989
fish21,Rotation,12,40,6,6,2.468782665,-2.10133502,-2.71437583
fish21,Rotation,13,41,6,5,3.019520789,-1.795698107,-3.357264166
fish21,Rotation,14,42,6,3,4.085741727,-7.1033436,-9.01336567
fish21,Rotation,15,43,6,5,2.595442054,-0.973794459,0.382209811
fish21,Washout,1,44,6,3,5.473355872,-31.14429334,-37.05392548
fish21,Washout,2,45,6,4,3.368457016,-6.179011645,-12.80960314
fish21,Washout,3,46,6,5,3.473506954,-4.904024438,-4.087658183
fish21,Washout,4,47,6,5,3.081868858,-6.596418559,-5.86609661
fish21,Washout,5,48,6,4,2.524050673,-7.033600922,-7.797580438
fish21,Washout,6,49,6,5,3.527146975,-6.756857546,-6.887235153
fish21,Washout,7,50,6,5,2.811543955,-4.706048645,-4.811697001
fish21,Washout,8,51,6,6,2.725043445,-4.090450555,-4.740264658
fish21,Washout,9,52,6,6,2.594387682,-3.487291218,-3.898562238
fish21,Washout,10,53,6,6,2.81650778,-3.556565004,-3.459262787
fish21,ReRotation,1,54,6,2,4.449950519,12.83084969,14.18965888
fish3,Baseline,1,1,6,3,5.081425795,1.763618645,-7.09642692
fish3,Baseline,2,2,6,4,8.864063866,-2.108962022,-2.57505113
fish3,Baseline,3,3,6,3,9.624113693,-6.465628287,-5.536134423
fish3,Baseline,4,4,6,3,5.587977849,-2.712093206,-1.571638332
fish3,Baseline,5,5,6,3,5.438409973,-6.630453651,-10.68658693
fish3,Baseline,6,6,6,4,7.320459021,-1.069845611,-10.21399955
fish3,Baseline,7,7,6,1,9.749954954,-9.231284445,-6.494823851
fish3,Baseline,8,8,6,1,8.022886212,-3.599642113,-1.060262923
fish3,Baseline,9,9,6,3,5.783011904,-3.924741246,-3.419409486
fish3,Baseline,10,10,6,4,7.042448843,-2.232439939,-2.269267693
fish3,Baseline,11,11,6,3,9.014603387,-7.217267392,-11.52370105
fish3,Baseline,12,12,6,3,4.357855699,-5.573691902,-15.48938952
fish3,Baseline,13,13,6,4,7.009439528,-3.237601417,-13.00058946
fish3,Baseline,14,14,6,1,8.374811266,-22.0747871,-39.78973726
fish3,Baseline,15,15,6,4,4.215880904,-7.920043034,-16.89608061
fish3,Baseline,16,16,6,2,4.818551482,-10.72986215,-11.39116081
fish3,Baseline,17,17,6,4,4.504619031,1.237007291,-9.036948364
fish3,Baseline,19,19,6,3,5.290211718,-6.805429141,-9.763158514
fish3,Baseline,20,20,6,5,3.408405559,-0.648549406,-1.628917826
fish3,Baseline,21,21,6,6,2.875824506,-1.081870234,-1.305067149
fish3,Baseline,22,22,6,4,4.171130328,-6.314409339,-23.99136663
fish3,Baseline,23,23,6,2,4.92536003,-8.806258453,-4.834402564
fish3,Baseline,24,24,6,6,2.698740138,-3.284559661,-2.932703894
fish3,Baseline,26,26,6,6,3.037469306,-1.675348979,-2.255043902
fish3,Rotation,1,27,6,0,7.891065749,25.84651861,55.47643922
fish3,Rotation,2,28,6,0,7.875497809,16.63188767,23.31857021
fish3,Rotation,3,29,6,3,7.486121894,3.960012838,7.134446238
fish3,Rotation,4,30,6,4,4.183115149,7.023018139,12.14904324
fish3,Rotation,5,31,6,5,3.878057105,1.212361619,4.093450019
fish3,Rotation,6,32,6,3,8.446474966,23.15236869,25.10217635
fish3,Rotation,7,33,6,4,5.312337519,6.165688786,5.513532577
fish3,Rotation,8,34,6,4,4.279153568,3.749661594,4.077343426
fish3,Rotation,9,35,6,6,4.254718918,-0.931365556,-1.688252633
fish3,Rotation,10,36,6,2,6.175517561,5.359791083,10.4546674
fish3,Rotation,11,37,6,1,6.743728024,10.96493074,7.219321507
fish3,Rotation,12,38,6,3,4.479959564,2.325083519,6.217393086
fish3,Rotation,13,39,6,4,5.985018837,0.192450766,-8.772905806
fish3,Rotation,14,40,6,4,4.406911921,-3.599440597,-7.275892341
fish3,Rotation,15,41,6,1,6.094292482,10.71509067,-0.952286794
fish3,Washout,1,42,6,0,9.82932549,-24.126363,-22.99269548
fish3,Washout,2,43,6,2,5.330215549,-7.42365324,2.380223625
fish3,Washout,3,44,6,5,3.91876966,-2.762024938,-4.613442871
fish3,Washout,4,45,6,4,5.446021994,-3.591468734,-4.538904979
fish3,Washout,5,46,6,2,8.002496773,-8.345224335,-19.73348704
fish3,Washout,6,47,6,4,4.490016053,-3.455218145,-13.42917406
fish3,Washout,7,48,6,3,10.06238814,-6.084464074,-0.531662881
fish3,Washout,8,49,6,3,4.987671102,-7.915106025,-7.973382385
fish3,Washout,9,50,6,3,5.406266185,-8.765548933,-7.930484116
fish3,Washout,10,51,6,5,3.006950379,-5.071782424,-4.898084344
fish3,ReRotation,1,52,6,4,2.925206926,2.00505627,-0.088992451
fish3,ReRotation,2,53,6,5,5.689319067,-0.602868641,-2.36475963
fish3,ReRotation,3,54,6,2,6.17849293,8.428708824,10.3601192
fish3,ReRotation,4,55,6,2,5.074631918,6.025456606,4.923316689
fish3,ReRotation,5,56,6,2,5.013654462,14.55087027,13.88347482
fish3,ReRotation,6,57,6,2,4.744235964,5.936916771,-3.620264287
fish3,ReRotation,7,58,6,0,6.154561138,13.45034927,12.41071233
fish3,ReRotation,8,59,6,2,5.51480672,-4.611864395,-10.08234934
fish7,Baseline,12,1,6,1,7.181249188,0.909054626,2.748168342
fish7,Baseline,13,2,6,2,4.119199815,7.92771546,6.106946734
fish7,Baseline,14,3,6,4,5.852444775,-2.976761385,-9.286695438
fish7,Baseline,15,4,6,2,4.600235842,-19.37088436,-39.19281926
fish7,Baseline,16,5,6,4,3.253106698,-2.985835543,-1.816080745
fish7,Baseline,17,6,6,2,3.817757841,-2.754804359,0.2457912
fish7,Baseline,18,7,6,5,3.036881353,1.639837174,0.096480471
fish7,Baseline,19,8,6,4,2.672906308,0.537618672,-2.024844301
fish7,Baseline,20,9,6,1,5.328950697,-7.07074928,-6.916552957
fish7,Baseline,21,10,6,3,4.389725753,-4.639576632,2.809048998
fish7,Baseline,22,11,6,5,2.840950756,-3.379572345,-2.73880363
fish7,Baseline,23,12,6,4,2.920076422,-3.144256702,-3.79231994
fish7,Rotation,1,13,6,1,6.266290154,14.7033748,13.87735203
fish7,Rotation,2,14,6,1,6.986529996,13.54081268,11.00627795
fish7,Rotation,3,15,6,4,6.41495929,7.176085707,7.029825019
fish7,Rotation,4,16,6,2,6.339145057,9.943641482,0.158234659
fish7,Rotation,5,17,6,3,7.469220153,7.258616265,14.37051762
fish7,Rotation,6,18,6,2,5.625801915,7.582776545,15.80193041
fish7,Rotation,7,19,6,1,9.132185943,12.85747084,22.3984163
fish7,Rotation,8,20,6,2,5.780308221,8.696132244,8.759115867
fish7,Rotation,9,21,6,1,7.443440241,7.199352723,11.96632508
fish7,Rotation,10,22,6,4,4.227021674,0.824766608,1.475325492
fish7,Rotation,11,23,6,3,5.145674214,2.267139062,4.872213134
fish7,Rotation,12,24,6,4,2.966951048,2.1242588,-0.246933964
fish7,Rotation,13,25,6,2,6.841716683,9.900682385,11.95251276
fish7,Rotation,14,26,6,4,2.860055861,1.923771405,0.220082829
fish7,Rotation,15,27,6,5,2.42054591,-0.433710638,0.153151053
fish7,Washout,1,28,6,3,2.74170604,-9.739293818,-13.82646743
fish7,Washout,2,29,6,4,3.090257825,-5.152343994,-6.25001473
fish7,Washout,3,30,6,5,2.527140916,-4.451686675,-4.894530605
fish7,Washout,4,31,6,5,2.298082044,2.108560344,5.508113511
fish7,Washout,5,32,6,3,2.213379669,-4.730996591,-5.619921556
fish7,Washout,6,33,6,2,6.143981725,-8.871145792,-10.17614367
fish7,Washout,7,34,6,2,5.538986516,-7.677061879,-14.5940545
fish7,Washout,8,35,6,4,4.28950951,-4.939305412,-13.35113548
fish7,Washout,9,36,6,5,2.878985623,-2.536242449,-1.489650538
fish7,Washout,10,37,6,6,2.528925184,-0.996638054,-0.255519241
fish7,ReRotation,1,38,6,4,8.010198922,6.093076946,6.020219522
fish7,ReRotation,2,39,6,4,5.620434484,3.683664702,7.092783371
fish7,ReRotation,3,40,6,5,5.642270495,1.120778173,1.224374715
fish7,ReRotation,4,41,6,5,2.778079319,3.899508939,2.918905308
fish7,ReRotation,5,42,6,5,5.433305067,1.721035629,3.349512887
fish7,ReRotation,6,43,6,3,6.282390282,7.304328531,10.12047961
fish9,Baseline,20,1,6,1,6.329568,-12.99737784,-68.43021537
fish9,Baseline,21,2,6,0,6.087869555,-65.31243907,-56.4762071
fish9,Baseline,22,3,6,0,5.114639635,-17.82398399,-14.54599714
fish9,Baseline,23,4,6,1,4.517493767,-6.885101812,6.295191036
fish9,Baseline,24,5,6,2,4.5724803,-4.200815417,-6.490746542
fish9,Baseline,25,6,6,4,2.899387217,-3.546464193,-14.71971347
fish9,Baseline,26,7,6,4,4.320659329,-0.512497918,-10.40950184
fish9,Baseline,28,9,6,4,2.68440473,-3.332508892,13.0480677
fish9,Baseline,29,10,6,2,5.146556501,3.353018168,-6.300403062
fish9,Baseline,30,11,6,3,4.10622082,11.45027545,13.27719154
fish9,Baseline,31,12,6,2,7.139038434,-12.26764508,-15.59777092
fish9,Baseline,32,13,6,2,2.63535411,-2.673256789,-12.82120268
fish9,Baseline,33,14,6,2,5.379309358,-11.25729735,-15.86596982
fish9,Baseline,35,16,6,4,4.555778472,-4.069056012,10.42386942
fish9,Baseline,36,17,6,4,4.859536358,0.561670645,7.977388716
fish9,Baseline,37,18,6,5,3.51066549,-1.286821369,3.199902724
fish9,Baseline,38,19,6,5,2.693929386,-1.827135428,0.978983795
fish9,Baseline,39,20,6,4,3.216428437,4.460050429,4.759519257
fish9,Baseline,40,21,6,6,2.670775298,-0.689336177,-1.148859076
fish9,Baseline,41,22,6,6,3.114552851,3.934691504,3.557442288
fish9,Baseline,42,23,6,6,2.912708692,0.644614175,-0.064250824
fish9,Baseline,43,24,6,6,2.942035491,1.737603306,2.179591062
fish9,Rotation,1,25,6,3,7.999219901,7.27318446,19.90691148
fish9,Rotation,2,26,6,1,6.727761782,12.16354028,11.20081624
fish9,Rotation,3,27,6,0,9.609233472,12.38653731,-3.597994436
fish9,Rotation,4,28,6,3,6.311814279,-3.004702951,-11.77493726
fish9,Rotation,5,29,6,3,6.407585933,0.090772999,-4.80781941
fish9,Rotation,6,30,6,1,10.8757485,-110.9272804,-86.2386792
fish9,Rotation,7,31,6,2,11.75025694,3.357186499,4.673882452
fish9,Rotation,8,32,6,1,12.38575132,-76.28130953,-75.05436762
fish9,Rotation,9,33,6,3,6.171144695,5.915979701,11.82220357
fish9,Rotation,10,34,6,4,3.836778322,0.453577266,-5.279882063
fish9,Rotation,11,35,6,2,8.413372501,-0.586243467,-12.5977396
fish9,Rotation,12,36,6,1,4.832724287,-12.45236419,-19.07235327
fish9,Rotation,13,37,6,2,5.052000595,-4.431207901,-11.59494862
fish9,Rotation,14,38,6,2,5.850534687,6.277407201,0.341131444
fish9,Rotation,15,39,6,2,5.873788456,-68.63040396,-67.52997851
fish9,Washout,1,40,6,2,4.681360937,-11.42296185,-11.2223453
fish9,Washout,2,41,6,3,5.39467189,-13.66484782,-33.19312716
fish9,Washout,3,42,6,3,3.495952885,0.040303386,9.581540859
fish9,Washout,4,43,6,3,3.641916842,-0.063259447,6.751249098
fish9,Washout,5,44,6,5,2.376905778,-2.786343479,-6.30873205
fish9,Washout,6,45,6,3,2.683339723,-3.036664849,-24.45924591
fish9,Washout,7,46,6,2,3.435117265,2.044573337,8.015963783
fish9,Washout,8,47,6,3,3.704601244,-6.592745279,-17.90896008
fish9,Washout,9,48,6,4,3.173080904,-3.628200007,-3.169823965
fish9,Washout,10,49,6,3,3.582136331,-6.197523341,-18.85504601
fish9,ReRotation,1,50,6,1,3.721675568,8.213214103,-7.263228058
fish9,ReRotation,2,51,6,3,4.459201048,0.3447054,3.117881224
fish9,ReRotation,3,52,6,1,4.128092742,10.05644507,2.176420642
fish9,ReRotation,4,53,6,5,3.361788441,-0.268739599,-6.324167616
fish9,ReRotation,5,54,6,5,2.742626774,4.503739942,7.073967566
fish9,ReRotation,6,55,6,5,2.59591362,0.191795228,1.994211743
fish9,ReRotation,7,56,6,5,2.544193153,-3.260288657,-4.683404288
fish9,ReRotation,8,57,6,3,3.003444264,-0.689766833,3.695591713
fish9,ReRotation,9,58,6,4,2.759249097,-0.63075993,-3.715967384
fish9,ReRotation,10,59,6,2,4.498085796,5.233641434,0.216073193
fish9,ReRotation,11,60,6,3,2.794874343,-6.438993579,-21.9388376
fish9,ReRotation,12,61,6,6,2.587495321,-5.269182484,-4.460275627
fish9,ReRotation,13,62,6,4,2.492350648,-1.857591668,-3.488415557
fish9,ReRotation,14,63,6,5,2.444256591,-2.754709169,-0.299001634
fish9,ReRotation,15,64,6,5,2.276555568,1.642260182,2.824395725
fish9,ReWashout,1,65,6,4,2.448308164,-6.06388075,-6.426801059
fish9,ReWashout,2,66,6,3,2.597975013,-7.915110492,-6.926719908
fish9,ReWashout,3,67,6,5,2.37430932,-4.782426244,-6.147145252
fish9,ReWashout,4,68,6,4,2.882546248,-4.653421123,-3.808874712
fish9,ReWashout,5,69,6,4,3.124718613,-5.99879861,-6.404298367
fish9,ReWashout,6,70,6,4,2.510608654,-7.514725882,-9.398061243
fish9,ReWashout,7,71,6,4,2.429305683,-6.663847753,-8.564685198
fish9,ReWashout,8,72,6,5,2.333166372,-5.682298237,-6.277937547
fish9,ReWashout,9,73,6,3,2.343714123,-6.524196935,-6.548816285
fish9,ReWashout,10,74,6,4,2.301528362,-7.9425155,-17.76485319
